Cause,Count,Percentage,Cumulative_Percentage
Lightning - Howe Interconnection PCB 7 Opened and Reclosed once.  SWEP Midland PCB 930 had a DTF of 12.4 and PSO Redoak PCB 65A/69A had a DTF of 35.7.,1,0.01,80.04000000000659
Lightning - Jensen Road PCB 112 Opened and Reclosed once. DTF from our end was .8 and from PSO 1301A at Red Rock was 3 miles.,1,0.01,80.05000000000659
"Weather, excluding lightning - Bank tripped and locked out",1,0.01,80.0600000000066
"Weather, excluding lightning - Date/Time: 04/29/2022 23:47:00  Line Section: Cow Creek 82 to Orlando 21  Cause: Weather, excluding lightning  Loads Affected: BRONCO ROAD Bank 1, Orlando Bank 1  Notified Parties/Crew Status: DCC/WFEC  Contingency Analysis Issues: None  Mitigation Plan: None  CROW: None  ETR: 23:54  Additional Information: PCB 82 did not attempt to reclose, closed by SCADA",1,0.01,80.0700000000066
"Unknown - Date/Time: 04/29/2022 19:48:00  Line Section: Beaver County 314, 384 to Xcel Hitchland 1R75, 1R80  Cause: Unknown  Loads Affected: None  Notified Parties/Crew Status: SPS  Contingency Analysis Issues: None  Mitigation Plan: Uknown  CROW: SPS entering  ETR: Uknown  Additional Information: Beaver County 314 and 384 tripped and locked out. DTF 10.5 miles. Cause Uknown. SPS investigating.",1,0.01,80.0800000000066
"Foreign Interference - Date/Time: 04/28/2022 21:35:00  Line Section: Draper Lake Transformer #4 104, 184, 304, 384  Cause: Wildlife  Loads Affected: None  Notified Parties/Crew Status: Charles Sweet, SPP, DCC  Contingency Analysis Issues: None  Mitigation Plan: None needed  CROW: 361870  ETR: 4/29/22   Additional Information: Draper Lake Transformer #4 breakers tripped and locked out. No weather in the area. Snake found on C Phase of tertiary.",1,0.01,80.09000000000661
Unknown - Weather in area  Broken crossarm,1,0.01,80.10000000000662
Human Error - Horshoeshoe Lake PCB 199 was inadvertently opened by field personnel. Alex Brennan was working at the time of the mis-op- 918-360-1127,1,0.01,80.11000000000662
Unknown - Trip and reclose. No inclement weather in the immediate area at the time.,1,0.01,80.12000000000663
Unknown - Known storm front in area.     Note.Paoli 7 failed to reclose based off reclosing schedule. It did however close after placing PCB 1 on sup. Paoli 1 failed to reclose on schedule as well within the reclosing time factor.,1,0.01,80.13000000000663
"Failed AC Circuit Equipment - Broken Cross Arm.  Chickasaw went multiple times. Transmission was in hot distribution.    It does not appear that Uniroyal attempted to close 20 DLHB which would have picked up Ardmore West. Have requested SP&C review. 4/25/2022, RG",1,0.01,80.14000000000664
Unknown - Windy,1,0.01,80.15000000000664
"Weather, excluding lightning - Storms in area. Breakers opened and reclosed.",1,0.01,80.16000000000665
"Weather, excluding lightning - Date/Time: 05/25/2022 04:42:00  Line Section: Sunnyside 314, 384 to Terry Road 3417A, 3421A  Cause: Weather, excluding lightning  Loads Affected: none  Notified Parties/Crew Status: Greg Hunt Ardmore sub ops en route  Contingency Analysis Issues: Several N-1 contingencies  Mitigation Plan: SPP activating flowgates  CROW: 364821  ETR: unknown  Additional Information: rain, per SCADA did not reclose, PCBs showed to be in supv/auto, PSO will patrol    PSO reports phase down within their line.",1,0.01,80.17000000000665
Failed AC Circuit Equipment - Failed lighting arrestor,1,0.01,80.18000000000666
Unknown - Roland Road 8 Opened and Reclosed. Cause unknown. Weather is approximately 30 miles south of sub.,1,0.01,80.19000000000666
"Unknown - Cow Creek failed to go through reclosing schedule.  Closed by SCADA.  Mis-op report sent.  Lee Olmstead reports that he believes that 82 went thru it reclosing, the counter shows 5 operation since 7/6/22.  82 may have needed the open command to reset the lockout, then a successful close followed.",1,0.01,80.20000000000667
Unknown - 12.5 kV feeder 721 locked out.  69kV PCB 8 showed operation (trip and reclose) with no matching operation of breaker on other end of line.,1,0.01,80.21000000000667
"Unknown - Date/Time: 07/21/2022 05:31:00  Line Section: Grant County 82, 88, C71 to NE Enid 11  Cause: Unknown  Loads Affected: Clyde Bank 1, Four Corners Bank 1, Kremlin Tap Bank 1  Notified Parties/Crew Status: Lee Olmstead dispatched  Contingency Analysis Issues: N/A  Mitigation Plan: N/A  CROW: 374022  ETR: All loads restored at 0541  Additional Information: NE Enid/Kremlin 69kV line sectionalized.",1,0.01,80.22000000000668
"Failed AC Circuit Equipment - Date/Time: 07/19/2022 15:52:00  Line Section: Bodle 114 to Brown 111 to Caney Creek 183, 186  Cause: Unknown  Loads Affected: Caney Creek Bank 1, Explorer PL-Durant Bank 1, Little City Bank 1  Notified Parties/Crew Status: Ardmore Sup ops  Contingency Analysis Issues: N/A  Mitigation Plan: N/A  CROW: 373845  ETR: Unkown  Additional Information:      Crews dispatched to sectionalize  Broken crossarm",1,0.01,80.23000000000668
Unknown - Tripped and reclosed. DTF 13.9 from Cleo Corner.,1,0.01,80.24000000000669
"Foreign Interference - Date/Time: 07/18/2022 08:24:00  Line Section: Agency 10 to Beeline 7  Cause: Unknown  Loads Affected: Bixby Bank 2, Bixby Bank 3, Hill Top Bank 1, Jamesville Bank 1, Jamesville Bank 2  Notified Parties/Crew Status: DCC/Sub ops  Contingency Analysis Issues: None  Mitigation Plan: None  CROW: 3732564  ETR: Unknown  Additional Information: Line operated 3 times and locked out.    Hershel Goodson notified. Report of a dump truck in the line.  Felicia Davis notified 7/18/22.",1,0.01,80.2500000000067
Unknown - Sooner Unit #1 tripped offline for unknown reason.  Sooner replacing bad condensate pump.  ETR is 7/19/22.,1,0.01,80.2600000000067
Failed Protection System Equipment - Weather in the area. Tripped and re-closed.,1,0.01,80.2700000000067
Lightning - Muskogee PCB 101 tripped. Upon contact plant personnel advised that there is lightning in the area.,1,0.01,80.28000000000671
Fire - Southard 130 was open and Roman Nose 187and 182 was on sup due to fire in area.,1,0.01,80.29000000000671
"Fire - Dewey to Roman Nose tripped and reclosed. Fire Reported in the area between Roman Nose and Southard. Mis-op on Dewey 182, it did not reclose automatically. DTF indicates 32.6 miles from Dewey and 14.7 miles from Roman Nose.",1,0.01,80.30000000000672
Unknown - Notified DCC and OMPA (Southard to Okeene Jct).  operated 6 minutes prior.,1,0.01,80.31000000000672
Unknown - Notified DCC and OMPA (Southard to Okeene Jct).,1,0.01,80.32000000000673
Unknown - No weather in the area. Notified DCC and AVEC. DTF 17.8 / 24.8 from Branch.,1,0.01,80.33000000000673
Unknown - Osage 109 opened and reclosed once. DTF of 0 from Osage and according to PSO a DTF of 24.3 from PSO Shidler. Cause unknown.,1,0.01,80.34000000000674
"Weather, excluding lightning - Date/Time: 07/21/2022 17:38:00  Line Section: Moonshine Road 81, 85 to Roland Road 8 to Third Street 84, 86  Cause: Weather, excluding lightning  Loads Affected: Muldrow Bank 1, Muldrow Bank 2, VIAN Bank 2  Notified Parties/Crew Status: Ft Smith/ Muskogee/DCC/ SPP   Contingency Analysis Issues: None   Mitigation Plan: N/A  CROW: 374131  ETR: TBD  Additional Information: Weather in area. Area is currently sectionalized, Primary DTF 26.4/BU DTF 21.4 outside of Moonshine   Line sectionalized from Moonshine MOS 37/ Roland Rd 8/ Third Street 32    When closing in Third Street line switch MOS 32 after testing line Roland Road 8 tripped back open. The Line was still in tact and Roland Road was reclosed by Scada.",1,0.01,80.35000000000674
Unknown - Notified DCC and SPA. No weather.,1,0.01,80.36000000000675
Lightning - Line tripped and reclosed during a storm. DCC and OMPA notified.,1,0.01,80.37000000000675
Lightning - Beeline PCB 1 & 7 / Sapulpa PCB 83 & 84 Trip / Close 1X.  Beeline C71 was in service and tripped at same time. Weather in area during time of operation.,1,0.01,80.38000000000676
"Failed AC Substation Equipment - When performing switching for S0984 Cow Creek/WFEC Warren Valley the first step was to Open by Scada, Cow Creek  132. There was approximately 102 of flow leaving Otter. By all indication 132 is a full load break switch. As open signal was sent to Cow Creek 132 it subsequently tripped/reclosed Cow Creek  PCB 103/105/82. The Otter end did not trip.",1,0.01,80.39000000000676
Vegetation - Tree fell into line causing line to come down,1,0.01,80.40000000000677
Lightning - Small storm with lightning in area,1,0.01,80.41000000000678
"Lightning - Date/Time: 07/03/2022 15:03:18  Line Section: Rocky Point 81, 83 to WFEC Marietta 34  Cause: Unknown  Loads Affected: Marietta Bank 1, Marietta Bank 2  Notified Parties/Crew Status: Ardmore, SPP, DCC  Contingency Analysis Issues: None   Mitigation Plan: None   CROW: 371992  ETR:   Additional Information: Marietta 34 is a normally open switch.     Distribution phase down in Marietta    PCB 81 did not reclose. Came into alarm one hour and 12 minutes after disturbance. Crews found air leak and are currently repairing.",1,0.01,80.42000000000678
"Unknown - no weather in area, DTF 6.1 from Maud",1,0.01,80.43000000000679
"Foreign Interference - Date/Time: 06/24/2022 04:11:00  Line Section: Arcadia Transformer #2 101, 181, 304, 384  Cause: Unknown  Loads Affected: none  Notified Parties/Crew Status: EHV  Contingency Analysis Issues: none  Mitigation Plan: N/A  CROW: 369124  ETR: unknown  Additional Information: Arcadia Xfmr bank 2 locked out in clear weather for unknown causes.    Field personnel dispatched to investigate.    Adam Auten on site.    Owl found as cause.  Investigating condition of transformer.  Track on S0947.",1,0.01,80.44000000000679
"Unknown - Clear weather, per SCADA Etowah 6 did not operate, Etowah PCB 6MW went to zero per SCADA, voltage indicated high at Little River Lake... conflicting information.     NOTE: Original disturbance entered by night shift was accidently deleted by dayshift so a new one had to be created 0536 6-23-22 dw",1,0.01,80.4500000000068
Unknown - Unit tripped while coming on Line.  It was at ~61 MW when it tripped on low drum level.,1,0.01,80.4600000000068
Unknown - Reason for trip is unknown at this time. Contacted Ardmore. DCC notified as well.  DTF indicated 3.4 miles from Ratliff and 4.1 from Carter County.,1,0.01,80.4700000000068
"Unknown - All breakers operated and reclosed on schedule except PCB 106.  It took 8 minutes to reclose.  No target on scada except for PCB 106 11-106 Reset and 11-106 Cycle  Distribution Bank 2 has a MOS for high side.  PCR 764 opened and the MOS 121 opened.  Dripping Springs 138 was opened for an outage so when Russett PCB 108 operated, Dripping Spring 2 banks and Stirling Road two banks were deenergized.  No DTF.  Cause was a snake on PCR 764.",1,0.01,80.48000000000681
Unknown - Maud Tap PCB 8 Trip / Closed 1X.  No DTF available.  DCC notified.  Etowah 33 was open at the time of trip,1,0.01,80.49000000000682
"Weather, excluding lightning - Weather in the area per Danny Sewell.",1,0.01,80.50000000000682
"Weather, excluding lightning - Date/Time: 07/21/2022 18:53:00  Line Section: Agency 107 to Muskogee 110  Cause: Weather, excluding lightning  Loads Affected: Euclid Bank 2, Euclid Bank 3, Muskogee Port Bank 2  Notified Parties/Crew Status: None needed  Contingency Analysis Issues: None, restored  Mitigation Plan:   CROW: 374138  ETR: All loads restored, outage lasted 2 minutes.  Additional Information: Heavy storms in area, line went thru its reclosing and lockout.  Tested line and it held.",1,0.01,80.51000000000683
Lightning - Storms in area. Breakers opened and reclosed once.,1,0.01,80.52000000000683
"Lightning - Degrasse 305, 385 to Woodward Dist EHV 308, 289 Trip / Close 1X.  Storms in area",1,0.01,80.53000000000684
"Unknown - Clear Weather single trip and reclose, no DTF at Maud, no targets at Maud",1,0.01,80.54000000000684
"Unknown - Trip and Reclose. DTF of 6.7 from Branch. Targets indicate Zone 1, Phase A, Ground from both ends. Cause unknown.",1,0.01,80.55000000000685
"Failed AC Circuit Equipment - Date/Time: 08/11/2022 18:33:52  Line Section: Redbud 386, 389 to PSO Riverside 3401A, 3405A  Cause: Unknown  Loads Affected: none  Notified Parties/Crew Status: PSO dispatching personnel to patrol.  Contingency Analysis Issues: none  Mitigation Plan: n/a  CROW: 377639  ETR: unknown  Additional Information: DTF 72.1 places it near Riverside sub, PSO dispatching personnel to patrol.  OGE dispatched tech to Redbud to sectionalize.     UPDATE: PSO found broken insulator",1,0.01,80.56000000000685
"Unknown - Maud Tap PCB 8 tripped and re-closed,",1,0.01,80.57000000000686
Lightning - weather in area per Spring Creek.  Sooner 312 and 382 operated.  Confirmed by trend of MW flow dropping to zero and return,1,0.01,80.58000000000686
"Lightning - Date/Time: 08/08/2022 15:29:37  Line Section: El Reno 11 to WFEC Dover 552, 652  Cause: Lightning  Loads Affected: Okarche Bank 1, Turkey Creek Bank 1  Notified Parties/Crew Status: Metro/Enid Sub OPs  Contingency Analysis Issues: N/A  Mitigation Plan: n/A  CROW: 376130  ETR: Unknow  Additional Information: El Reno 11 Trip / Close 2 X stayed closed on 3 operation ; Okarche appeared to sectionalized, no SCADA indication on AMOS's;  WFEC 652 & 552 Trip / Close 3X to lock out.  El Reno DTF shows High Reasonability WFEC reports DTF 17 miles.  DCC, WFEC, OMPA, Metro & Enid on call notified  update - 3 poles on ground between Bowman and Turkey creek.  Sectionalized Bowman/Turkey Creek.",1,0.01,80.59000000000687
Unknown - Tripped and reclosed. No DTF.,1,0.01,80.60000000000687
"Unknown - Redbud CT tripped at 1213 steamer tripped at 1216, 283 MW online when tripped.  Problem with bleed valve caused trip",1,0.01,80.61000000000688
Unknown - Tripped off due to burner failed. At 36 MW at time of trip.,1,0.01,80.62000000000688
"Unknown - No weather. Plant and DCC notified, At 245MW at time of trip. Tuning on boiler feed pump tripped.",1,0.01,80.63000000000689
Unknown - Roland Rd PCB 8 Trip / Close 2X's & VBI 82 & 84 1X per SCADA.  Clear weather at time of trip.  DCC and AECC notified,1,0.01,80.64000000000689
Lightning - Etowah 6 and HSL 10 tripped and reclosed. DTF of 14.7 from Etowah. Storms in area.,1,0.01,80.6500000000069
Lightning - Ratliff 10 and Healdton 9 Tripped and Reclosed. DCC notified. Weather in the area.,1,0.01,80.6600000000069
Other - High load tunnel temp caused overload and tripped Unit 3 offline. Was generating 60 MW at time of trip. Unit 3 expected back online today 8/1/2022.,1,0.01,80.67000000000691
Lightning - Severe weather in the area. Notified DCC & OMPA. C71 was already open.,1,0.01,80.68000000000691
"Weather, excluding lightning - Heavy weather in area, trip and reclose, DTF 11.7",1,0.01,80.69000000000692
Lightning - Breakers 185 and 184 at Cleo Corner opened and reclosed. Storms in area.,1,0.01,80.70000000000692
Lightning - Severe weather in the area. Notified DCC and WFEC.,1,0.01,80.71000000000693
Lightning - Five Tribes to Warner 69kV Line opened and reclosed. DTF of 1.6 miles from Five Tribes. Weather in Area.,1,0.01,80.72000000000693
"Human Error - Branch 9 Opened and Reclosed, Branch 2900 Opened and was closed via Supv. Breakers operated due to human error during testing at Sub by crew.  Notified DCC & SWEP.",1,0.01,80.73000000000694
"Weather, excluding lightning - Trip and reclose.  No DTF",1,0.01,80.74000000000694
Lightning - Trip and reclosed at Ft smith.  AES Closed by Operators.,1,0.01,80.75000000000695
"Lightning - Date/Time: 07/28/2022 22:06:00  Line Section: Agency 107 to Muskogee 110  Cause: Lightning  Loads Affected: Euclid Bank 2, Euclid Bank 3, Muskogee Port Bank 2  Notified Parties/Crew Status: DCC & Muskogee Sub Ops  Contingency Analysis Issues: No issues at this time  Mitigation Plan:   CROW: 375003  ETR: n/A  Additional Information: Agency 107 & Muskogee 110 operated 3x to lock out......DCC notified and Muskogee Sub ops  Update: S1121:   Sectionalized between Euclid 161kV SW 131 to Musk Port Tap 135 .  5mile line section needs to be patrolled Notified H Goodson.  Notified DCC that TCC is Hot up to High Side on DCC BNKs at Euclid and Muskogee Port     Down shield wire.",1,0.01,80.76000000000695
"Failed AC Circuit Equipment - Date/Time: 07/28/2022 22:06:00  Line Section: Howe Int. 7 to Tarby 6 to Tarby 8  Cause: Unknown  Loads Affected: Cavanal Mtn Bank 1, Cavanal Mtn Bank 2, Heavener Bank 1, Heavener Bank 2, Howe Bank 1, Howe Bank 2, Poteau Bank 2, Poteau Bank 3  Notified Parties/Crew Status: DCC and Ft Smith Sub ops  Contingency Analysis Issues: N/A  Mitigation Plan: N/A  CROW: 375004  ETR: Unknown  Additional Information: Tarby PCB 6 & 8 plus Howe Interconnect PCB 7 opened  No Distance to fault    Sectionalized both Tarby to Heavener and Tarby to Cavanal Mountain to pick up all loads.    Found broken cross arm on Heavener Line.  Nothing found on Cavanal Mountain even though PCB 8 would not hold when tested with Cavanal Mtn 37 opened.",1,0.01,80.77000000000696
Lightning - Etowah 6 top Horseshoe Lake 10 Trip / Close 1X.. Notified DCC storms in area,1,0.01,80.78000000000696
"Weather, excluding lightning - Draper Lake C171 Trip;  Pri L/O 86P-C171 .... EHV on call dispatched, replace blown cans.",1,0.01,80.79000000000697
"Human Error - Technicians opened wrong 125V DC breaker while searching for a ground, causing the unit to trip offline",1,0.01,80.80000000000697
"Foreign Interference - Clear weather, bird made contact with bank 4    69kV bus energized at 0403, DCC energized bank 4 around 0751",1,0.01,80.81000000000698
"Foreign Interference - DCC bank 4 differential, MOS 24 opened automatically and PCBs 6 and 15 reclosed, clear weather    Squirrel found on bus near bank.",1,0.01,80.82000000000698
"Weather, excluding lightning - Date/Time: 07/21/2022 20:51:01  Line Section: SW 5th 69kV Main Bus 9, T15  Cause: Weather, excluding lightning  Loads Affected: None  Notified Parties/Crew Status: None needed  Contingency Analysis Issues: None  Mitigation Plan:   CROW: None  ETR: all closed  Additional Information: Weather and lighting in area, T115, T15 and C70 tripped.  Open command sent to T115 and T15, C70 automatically reclosed, then T115 and T15 closed by SCADA",1,0.01,80.83000000000699
"Failed AC Circuit Equipment - Date/Time: 06/20/2022 16:37:00  Line Section: Seminole 306, 386 to PSO Pittsburg  Cause: Unknown  Loads Affected: None  Notified Parties/Crew Status: SPP, DCC, Shawnee  Contingency Analysis Issues: None at this time  Mitigation Plan: N/A  CROW: 368717  ETR: TBD   Additional Information: DTF indicated 33 miles from Seminole. Member in route to Seminole for switching.   Found Broken Cross Arm approx 33 miles from Seminole.  Switched out per S0931 and picked up terminal clearance from PSO",1,0.01,80.840000000007
"Weather, excluding lightning - Weather in area.  DTF 2.2 from VBI  Everything operated twice except VBI PCB 184",1,0.01,80.850000000007
"Unknown - Date/Time: 06/17/2022 16:06:00  Line Section: Horseshoe Lake 69kV Bus #3 T15, T17  Cause: Unknown  Loads Affected: Bus # 3, No reserve at this time.  Notified Parties/Crew Status: Plant investigating. EHV Crews in route.   Contingency Analysis Issues: Contingencies. No reserve at this time. HLS Unit 6 at risk of tripping.    Mitigation Plan: None  CROW: None  ETR: ETR Unknown.   Additional Information: HLS 69kV Bus # 3 tripped due to a persistent Fault.   Unit 7 Tripped offline and the BUs breakers T15 & T17 tripped about 1 min later,   Plant reports steam leak impacted unit 7 switchgear and is probable cause of station service & 69kv Bus 3 outage. cd  Plant isolated impacted switchgear and requested energizing to HSL Reserve Aux Transformer.  Closed T15 @ 18905.",1,0.01,80.860000000007
"Lightning - Weather in area  Line locked out , closed back by SCADA",1,0.01,80.87000000000701
"Weather, excluding lightning - DTF is 15.6 miles from Moonshine between Vian Tap and KAMO Muldrow Tap.  Weather in the area, heavy rain.",1,0.01,80.88000000000702
"Weather, excluding lightning - Date/Time: 06/08/2022 10:57:00  Line Section: Russett 107 to SPA Brown 12  Cause: Lightning  Loads Affected:   Notified Parties/Crew Status: WFEC  Contingency Analysis Issues: N/A  Mitigation Plan: N/A  CROW: 366276  ETR: Unknown, WFEC personnel to patrol  Additional Information: Russett 107 Locked out, went through reclosing schedule.  WFEC notified    DTF: 15.0 miles from Russett 107  WFEC Opened their WFEC Russett 1961, TCC then closed Russett 107. Line back in service.",1,0.01,80.89000000000702
Lightning - Carter County 183 trip / close 1X. SCADA did not show 182 operated. Did show Dead on PT and Hot when 183 reclosed  Origin Wind at time of trip had RTU down (Possible storm related)    DTF: 16.8 / 16.1 from Carter County,1,0.01,80.90000000000703
"Weather, excluding lightning - Etowah PCB 6 & Horseshoe Lake 10 Trip / Close 1X.  DCC notified   DTF 24.74 miles from Horseshoe Lake 10  DTF 34.1 miles from Etowah 6",1,0.01,80.91000000000703
Lightning - Fort Smith PCB 188 & 189  Trip / Close 1X- AES River Valley 52D & 52A Trip.  SWEPCO 11710 Trip / Close  SWEPCO and River Valley Notified  No DTF available,1,0.01,80.92000000000704
"Human Error - Sooner Reserve Aux Line #1 112, 182,   Severe weather in the area. Sooner Plant & DCC notified. Plant indicates possibly tripped due to contractors working on fire control system. Waiting on cause and if able to close back breakers to restore Reserve Aux 1.  Unit 1 is online, if unit trips, unable to come back due to no reserves. Crews in route to investigate.   CROW 366083  Crews verified trip came from plant testing fire control system.",1,0.01,80.93000000000704
"Human Error - Sooner Reserve Aux Line #2 113, 183, Severe weather in the area. Sooner Plant & DCC notified. Plant indicates possibly tripped due to contractors working on fire control system. Waiting on cause and if able to close back breakers to restore Reserve Aux 2.   CROW 366085.   Update: Crews verified trip came from plant testing fire control system.",1,0.01,80.94000000000705
Lightning - Maud Tap PCB 109 Trip / Close 1X.  PSO Notified.  PSO Cornville Trip / Reclosed.    DTF: 43.4 form Maud Tap  DTF: 17.7 from PSO Cornville,1,0.01,80.95000000000705
Unknown - Scada showed Bristow110 did NOT open. Scada Showed Greenwood 181 and 184 opened. Trending the MW's at greenwood didnt show we lost flow but lost comms for a brief second. trending Bristow MW's shows we did momentarily stop flow on the line but didnt have any loss of comms. It looks like we had a misop on Greenwood PCB's 181 and 184    No inclement weather in the area at the time of the incident.,1,0.01,80.96000000000706
Unknown - No Inclement weather in the area at the time of the operation.,1,0.01,80.97000000000706
Unknown - This trip was apx 2 hours after a storm passed through the area. No inclement weather in the area at the time of the trip.,1,0.01,80.98000000000707
"Unknown - Helberg PCB 181 & 188 Trip / Close 1X & VBI PCB 181 & 182 1X. No weather in area.  AVEC, DCC notified.  DTF: 10.3 from VBI  DTF: 18.3/18.4 from Helberg",1,0.01,80.99000000000707
"Weather, excluding lightning - Tarby PCB's 6 & 8 trip / close 1x.  Howe Int trip/ close 1x.  PSO, DCC, WFEC all notified.  Thunderstorms in area.    DTF: 5.7 from Howe Int.  DTF: 5.7 from Tarby PCB 8.",1,0.01,81.00000000000708
"Lightning - Date/Time: 06/06/2022 03:09:18  Line Section: Bluebell 1, 6 to Sapulpa 81, 84  Cause: Lightning  Loads Affected: None  Notified Parties/Crew Status: Muskogee Sub Ops  Contingency Analysis Issues: None  Mitigation Plan: N/A  CROW: 365904  ETR: Unknoen  Additional Information: Storms in Area. Sapulpa AMOS 30 opened and 81 and 84 closed back. Bluebell 1 and 6 stayed open. No DTF. Chris Broyles dispatched to investigate.    update - phase on ground per Jesse Bunn - repairs expected by end of day today",1,0.01,81.01000000000708
Unknown - Storms were in this area approximately 1 hour before this tripped and reclosed. Radar shows this area is clear of rain and storms at the time of the trip!,1,0.01,81.02000000000709
"Unknown - Plant Reports Unit 7 tripped offline was at 186MW at time of trip, Unknow reason at this time. EHV to respond as well.   Additional Information: HLS 69kV Bus # 3 tripped due to a persistent Fault.   Unit 7 Tripped offline and the BUs breakers T15 & T17 tripped about 1 min later,   Plant reports steam leak impacted unit 7 switchgear and is probable cause of station service & 69kv Bus 3 outage. cd  Plant isolated impacted switchgear and requested energizing to HSL Reserve Aux Transformer.  Closed T15 @ 18905.",1,0.01,81.03000000000709
Unknown - Sever weather in the area.,1,0.01,81.0400000000071
Unknown - Severe storms in the area at the time of the trip and reclose. PCB 8 at Fixico was switched out at the time of the event.,1,0.01,81.0500000000071
"Unknown - Date/Time: 06/04/2022 02:33:55  Line Section: Sunnyside 314, 384 to Terry Road 3417A, 3421A  Cause: Unknown  Loads Affected: None  Notified Parties/Crew Status: PSO dispatching crews.  Contingency Analysis Issues: None  Mitigation Plan: N/A  CROW: 365807  ETR: Unknown  Additional Information: Sunnyside 314 and 384 opened and didn't reclose. DTF of 5.2 miles from Sunnyside.",1,0.01,81.06000000000711
"Weather, excluding lightning - Severe weather in the area. DCC notified",1,0.01,81.07000000000711
Lightning - Severe weather in the area. WFEC & DCC Notified.,1,0.01,81.08000000000712
"Weather, excluding lightning - weather in area, unsure if it really tripped, bluebell 6 also tripped at same time",1,0.01,81.09000000000712
"Unknown - weather in area, unsure if real trip, bellcow 185 also tripped at same time",1,0.01,81.10000000000713
Unknown - Trip and Reclose   No weather.,1,0.01,81.11000000000713
Unknown - Trip and Reclose.  Windy day.  DTF on 21-37 relay did not change from 30.0.  Only saw targets on 87-37 relay.    tried to send email.,1,0.01,81.12000000000714
Unknown - Trip and reclosed properly.    No weather in area.  Email sent.  cd,1,0.01,81.13000000000714
Unknown - No weather in area.  No Distance to Fault  All devices reclosed properly.,1,0.01,81.14000000000715
"Foreign Interference - Ardmore Notified to investigate trip . DCC Notified. No weather in the area.   Steve Blevins reports a bird and feathers on the ground, B phase, and imbalance targets.  No switching required. Alarm, lock out reset. Closed B/S C171 at 1851. All normal.  Ops log updated.",1,0.01,81.15000000000715
Unknown - PSO reports Weleetka 61A tripped and PSO reports they reclose by  SCADA.   Cromwell Tap 31 was open at the time for fault study so Fixico PCB 9 did not operate. No OGE load was affected.  PSO does not have a distant to fault on that line.,1,0.01,81.16000000000716
Unknown - No weather. DCC Notified. DTF 14.3 from HSL 10.,1,0.01,81.17000000000716
"Lightning - Date/Time: 06/08/2022 11:41:00  Line Section: Fixico 10 to Maud Tap 7  Cause: Thunderstorms in area  Loads Affected: Cypress Bank 1, Cypress Bank 2, Emahaka Bank 1, Letha Bank 1, Little River Bank 1, Wewoka Bank 3, Wewoka Bank 4  Notified Parties/Crew Status: DCC, Shawnee Sub Ops  Contingency Analysis Issues: N/A  Mitigation Plan: N/A  CROW: 366288  ETR: Unkown; Shawnee Sub in route  Additional Information: Maud Tap 7 to Fixico 10 went through Reclosing Schedule.  Maud Tap PCB 7relcosed.  Fixico 10 locked out.  Wewoka 33 Opened, Cypress 38 opened.  DCC Notified and Shawnee sub ops.  DTF: 23.91 from Maud Tap 7   Fixico 10 reclosed by SCADA and picked up Letha load 1238",1,0.01,81.18000000000717
"Lightning - Moonshine 81 & 85 / Roland Rd 8 / Third St 84 & 86 Trip / close 1X.  DCC, Kamo notified  DTF: 7.2 / 7.4 from Moonshine    Update:  6/9/22 11:00 Flown twice but no damage found.  cd",1,0.01,81.19000000000717
"Lightning - Moonshine 81 & 85 / Roland Rd 8 / Third St 84 & 86 Trip / close 1X.  DCC, Kamo notified  DTF: 30.1 / 29.7 from Moonshine    Update:  6/9/22 11:00 Flown twice but no damage found.  cd",1,0.01,81.20000000000718
"Human Error - While performing terminal testing on Tryon /Warwick terminal, Transfer Trip sent to Greenwood 182 & 183  Tipton confirmed ok to continue.  Closed Greenwood 182, 183 by scada after consult with Akins.",1,0.01,81.21000000000718
Unknown - Opened and reclosed. DTF of 4.9 miles from Fixico.,1,0.01,81.22000000000719
Failed Protection System Equipment - Woodring opened and reclosed twice.  Pintail did not operate.  No Distance to fault.  Clear Weather.,1,0.01,81.2300000000072
"Unknown - Five Tribes 6 to Warner 83,84 tripped and reclosed. DTF 11 miles from Five Tribes and 35.6 miles from Warner.",1,0.01,81.2400000000072
"Human Error - At approx. 17:21 on 6/14/22 Council T116 opened and then went thru its reclosing, after several attempts and a slight delay it attempted to reclose again.      Zac Carlon arrived on site and investigated and informed Ryan Einer of his findings.  Ryan was sent the alarms for Council that TCC was seeing.    Per Ryan Einer:  At this time we believe that the local trip at Council was due to a contractor shorting the CT circuit wired to Bank 2, Bank 3, and T116 and used by the backup 21-132 line relays (138kV Mustang Line).  The contractor was trying to lift and isolate current circuits used by the failed in service Bank 3 transformer and most likely grounded the live CT circuit carrying relay current from Bank 2 resulting in a local trip at Council.  There was no indication of a fault from Mustang relays.  Further investigation will occur tomorrow with the contractor.    Operator Log ID: 70550",1,0.01,81.2500000000072
"Other - Plant issue, coal chute plugged, will return ASAP.",1,0.01,81.26000000000721
"Other - Plant issue, will return ASAP.",1,0.01,81.27000000000722
"Unknown - Date/Time: 06/13/2022 17:46:00  Line Section: Arbuckle 6 to Chigley 14  Cause: Unknown  Loads Affected: Davis Bank 1, Davis Bank 2, Lake Arbuckle Bank 1, Lake Arbuckle Bank 2  Notified Parties/Crew Status: en route  Contingency Analysis Issues: none  Mitigation Plan: none   CROW: 366928  ETR: unknown  Additional Information: DTF 2.0 and 1.7 from Chigley",1,0.01,81.28000000000722
